"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20504","Test 1","Google Chrome","Wed May 28 20:40:17 IST 2025","passed","Wed May 28 20:40:37 IST 2025","SmokeSuite","Chapter-04\04_TestReports_Test.spec.ts","",""
"","21097","Test 2","Google Chrome","Wed May 28 20:40:17 IST 2025","passed","Wed May 28 20:40:38 IST 2025","RegressionSuite","Chapter-04\04_TestReports_Test.spec.ts","",""
"","22547","Test 4","Google Chrome","Wed May 28 20:40:17 IST 2025","failed","Wed May 28 20:40:39 IST 2025","RegressionSuite","Chapter-04\04_TestReports_Test.spec.ts","",""
"","19341","Test 3","Google Chrome","Wed May 28 20:40:17 IST 2025","passed","Wed May 28 20:40:36 IST 2025","RegressionSuite","Chapter-04\04_TestReports_Test.spec.ts","",""
